OBJECTID;CID;blue;green;red;nir;swir;GT
1;1;380;634;1004;1626;2898;0
2;1;248;406;544;1402;1328;1
3;1;771;1046;1396;2186;2787;0
4;1;585;847;1124;1970;3440;0
5;1;1334;716;837;2066;1688;0
6;1;885;1154;1522;2244;3835;0
7;1;232;372;550;1360;1056;1
8;1;162;315;492;1242;1027;1
9;1;306;533;588;1852;1260;0
10;1;207;318;567;992;1635;1
11;1;381;645;972;1210;2764;0
12;1;205;338;582;1096;1014;1
13;1;728;1032;1478;2232;3558;0
14;1;638;985;1204;2532;3253;0
15;1;269;453;529;1748;864;1
16;1;678;898;1170;1642;2513;0
17;1;505;835;1190;2164;2145;0
18;1;332;437;639;1318;1777;0
19;1;805;1078;1410;2206;3666;0
20;1;234;419;496;1780;1134;0
21;1;389;589;749;2112;2717;0
22;1;820;1130;1494;2346;3815;0
23;1;398;601;706;1704;1790;1
24;1;662;977;1328;2300;3412;0
25;1;252;448;479;1638;1214;0
26;1;338;701;1106;1466;3440;0
27;1;241;434;557;1424;1803;1
28;1;283;412;656;1248;1437;1
29;1;792;1138;1532;2432;3936;0
30;1;338;471;661;1256;1414;1
31;1;1096;1098;1362;2148;2985;0
32;1;136;225;246;963;509;1
33;1;184;374;436;1174;1135;1
34;1;691;992;1290;2148;2163;0
35;1;162;333;369;1494;1052;0
36;1;371;694;1078;1584;2810;0
37;1;188;339;616;1158;1103;1
38;1;163;275;312;1260;869;1
39;1;763;1066;1458;2358;3861;0
40;1;274;445;553;1544;1316;1
41;1;879;1180;1600;2354;3909;0
42;1;141;341;555;781;1211;1
43;1;233;631;984;1694;2288;0
44;1;1078;1240;1482;1626;2020;0
45;1;244;357;456;1318;973;1
46;1;196;455;587;2030;1623;0
47;1;303;541;776;1308;1482;1
48;1;298;469;704;1594;1641;0
49;1;1414;1042;891;2104;1252;1
50;1;244;393;422;1442;1211;1
51;1;238;369;430;1476;1012;1
52;1;208;375;435;1578;1089;1
53;1;280;287;471;1003;937;1
54;1;339;628;724;1550;1583;1
55;1;252;403;652;1088;1180;1
56;1;138;273;343;1356;864;1
57;1;221;324;423;1072;961;1
58;1;160;316;497;1202;888;1
59;1;1670;1984;2190;2752;2993;0
60;1;205;392;444;1580;891;1
61;1;225;389;531;1362;1014;1
62;1;658;893;1256;2092;3543;0
63;1;527;746;1021;1650;2267;0
